Minisector,STR,ANT,Fastest
0,268.47393649284857,270.11808700739044,ANT
1,287.7305636097965,288.2040345099112,ANT
2,295.8779144008556,295.68827050047616,STR
3,132.0718652238234,124.95537167786398,STR
4,190.1361980969095,192.8022843710446,ANT
5,254.9994392205752,257.87685892789113,ANT
6,142.56859696615402,146.08076656186938,ANT
7,205.23830518383272,201.38214019417256,STR
8,256.15592714666667,255.25841576114286,STR
9,280.1662031558897,279.6544335759626,STR
10,237.4804988121212,236.47911455560697,STR
11,180.69846840734436,183.49946373790775,ANT
12,186.6319114590941,189.9055423360593,ANT
13,137.11226544155937,142.47023906835977,ANT
14,176.91660983572018,173.0015454784699,STR
15,162.0017136922124,160.82859864407098,STR
16,218.39513965007592,215.68714461758105,STR
17,238.85212279932776,237.7643436269022,STR
18,242.22400304761902,240.35575773825292,STR
19,232.56337352063915,235.945846248823,ANT
20,141.95265128761906,144.31446162027268,ANT
21,132.06594352510743,135.68430014247318,ANT
22,173.4153621849992,165.8941735789078,STR
23,154.02024235580856,151.49364332563331,STR
24,227.08057912720977,227.208188190259,ANT
25,254.22726865454544,256.5555545880579,ANT
