Minisector,PER,SAI,Fastest
0,243.83464134133908,245.11927298135785,SAI
1,276.35126775652174,282.4205245952521,SAI
2,189.4589672008931,182.90408001209633,PER
3,151.50888887071469,150.82418448878,PER
4,257.77344579009815,256.88923918854823,PER
5,269.099613030607,267.3360805860806,PER
6,219.26463602868176,210.1477499734517,PER
7,201.5784393745228,192.1904761904762,PER
8,152.0204885087156,150.81454051851833,PER
9,209.48796927591908,209.48216413061326,PER
10,271.96857080076194,273.06478174603177,SAI
11,126.45091483397044,122.12096811469434,PER
12,205.36472166273754,210.43092140367932,SAI
13,267.79499942399997,276.7372380952381,SAI
14,287.13066720309075,304.55892854718616,SAI
15,293.59257252173916,318.8609904968509,SAI
16,251.3811384346522,235.88563218390806,PER
17,135.53919050893813,128.2247834985052,PER
18,130.0415860948986,126.74185127628118,PER
19,121.42160081090567,115.36405360451977,PER
20,221.4109693136225,227.06002787555556,SAI
21,250.92746850088184,252.72345679012344,SAI
22,238.49406152366893,230.7956556291901,PER
23,217.89231816666666,206.7225488627451,PER
24,140.10113623538652,136.88884562159697,PER
25,214.0,,PER
