Minisector,HAM,BOR,Fastest
0,276.66711244865496,273.063454228872,HAM
1,309.8251037933333,296.3483473389356,HAM
2,331.3319752,309.33855545060266,HAM
3,342.20424134564104,316.08103830316287,HAM
4,344.9798610666667,319.69645833333334,HAM
5,342.9752383085714,321.53799999999995,HAM
6,214.99552427189025,199.4247691319862,HAM
7,107.46344800472713,106.30442457139634,HAM
8,199.1819186467879,192.50243867243864,HAM
9,269.4127839225374,259.6857724439877,HAM
10,296.2530961094948,289.95667463517464,HAM
11,154.7144467357104,165.59804842206498,BOR
12,95.43304725324614,100.68462030578512,BOR
13,121.21367615601942,119.59936496670919,HAM
14,216.87539193970676,221.41387244783758,BOR
15,185.63692369642118,189.5313490478819,BOR
16,220.20306777811197,224.4861510809364,BOR
17,179.94515780289242,183.21029781305336,BOR
18,229.80723551782316,236.29619047619047,BOR
19,274.11415301746507,277.18390629,BOR
20,236.1065310256085,235.38177638227756,HAM
21,143.30480675321482,146.3846301693766,BOR
22,96.82089285598472,93.85714515597589,HAM
23,127.79046919532196,125.82167718371672,HAM
24,229.5636659018073,223.89803055757577,HAM
25,258.79499904,256.4250016,HAM
