Minisector,VER,GRO,Fastest
0,306.2494018557522,307.7647937381812,GRO
1,238.63223804018307,233.24219515409473,VER
2,138.7238074936591,137.65681878603087,VER
3,222.8689571835385,221.40423463104005,VER
4,266.6738186769262,265.91594745845003,VER
5,290.2640227575434,288.6426266634629,VER
6,302.30690487873017,302.806832109884,GRO
7,279.37170694934105,281.95859253333333,GRO
8,176.46198728074305,171.04949187094323,VER
9,241.8179225124577,240.30632860104615,VER
10,273.5265772728767,275.15400695864014,GRO
11,264.4035407364151,265.9667703983216,GRO
12,215.00553119336456,208.48437481212122,VER
13,132.58237466084518,133.41968006109423,GRO
14,126.10304369282107,124.18016339969144,VER
15,170.55626666079914,176.03447927553623,GRO
16,129.04185925767098,121.96944771570509,VER
17,234.23814079899026,231.86794691047618,VER
18,191.09024605339098,197.73076735888756,GRO
19,169.41087460894198,162.32357294894322,VER
20,247.8327566727681,250.4178416010998,GRO
21,275.90653033592196,280.363281,GRO
22,292.47020095238094,295.25835750922425,GRO
23,301.82580883256065,303.94167387534014,GRO
24,306.8059426710223,307.5951114908567,GRO
25,308.0,309.0,GRO
