Minisector,ALO,ALB,Fastest
0,275.75056561834214,276.81374724624794,ALB
1,298.0542425409862,298.0526604299847,ALO
2,294.7155440291536,297.40263543191156,ALB
3,167.4991729728323,176.3954887433739,ALB
4,123.23574034634242,115.6744517679884,ALO
5,234.70097788448513,235.97798065588287,ALB
6,280.34601787215007,279.50344306056,ALO
7,292.5747436538068,293.92588949903876,ALB
8,182.60715887527783,184.27835937842295,ALB
9,146.51173631596356,133.95479255346433,ALO
10,252.103316760409,250.34114803521294,ALO
11,288.9411858714148,288.7390909991342,ALO
12,298.01572663258145,304.1649073750049,ALB
13,287.20756808951353,285.40046034052983,ALO
14,297.02449106866214,297.1804265628241,ALB
15,299.2367618255792,301.4512317835749,ALB
16,258.18388973184267,256.9156032432591,ALO
17,232.3294554871264,228.81043589359064,ALO
18,276.46062456,281.24880667610194,ALB
19,296.8170948125018,298.84568873055457,ALB
20,297.2403727893333,306.8030110102751,ALB
21,242.9370434469904,241.4825558660806,ALO
22,262.1412452667372,262.624042928236,ALB
23,142.7179272923725,141.4547083125046,ALO
24,215.54883924825396,213.08847767123868,ALO
25,257.51666773333335,259.05000106666665,ALB
