Minisector,VER,RUS,Fastest
0,313.0249300945454,312.8318408972542,VER
1,239.11125580060215,241.8961835017489,RUS
2,133.00903303351043,133.19505103866814,RUS
3,222.07111086814814,216.27346647365079,VER
4,266.98248891241434,265.3358233855239,VER
5,293.5279218346194,290.86743804693725,VER
6,309.1378039595828,307.0543085880173,VER
7,284.4645041756863,288.1960442194286,RUS
8,175.34213218812462,169.98928890349885,VER
9,241.46318682373922,235.77481052419603,VER
10,274.61793762329637,273.5345652111246,VER
11,260.6290446682353,262.93958094021787,RUS
12,210.62384405665324,206.52781532853004,VER
13,125.61400374621779,128.08426750226707,RUS
14,123.84842381442586,121.8439473211985,VER
15,156.832334709506,172.03538042684912,RUS
16,124.4088212451245,118.53524455403173,VER
17,229.4544251668027,223.11596449885502,VER
18,186.91808807081406,193.71196976814545,RUS
19,164.32442364014074,153.95588607549314,VER
20,245.13143441955418,239.16273614460988,VER
21,275.3228839068783,273.12886654814815,VER
22,294.1273563854912,291.2547898218487,VER
23,306.29126107493767,303.03029152048396,VER
24,311.7412202666667,308.7736609289796,VER
25,,311.0,RUS
