Minisector,HAD,SAI,Fastest
0,300.9648266943723,277.3359848888889,HAD
1,310.30187085099413,287.18027808,HAD
2,221.19117955253893,210.17966953142857,HAD
3,158.0244443022222,106.18416631275826,HAD
4,158.0,147.2927390695066,HAD
5,196.91177745253458,267.18604881568854,SAI
6,272.74162632727274,174.30195727569023,HAD
7,129.6809412695128,151.16490067355446,SAI
8,218.08373548052623,250.44382086121104,SAI
9,246.84937323515132,242.07392473331274,HAD
10,225.06904991622199,180.1299553381139,HAD
11,152.54053877086685,135.60124823568086,HAD
12,157.988248736754,236.17877108141636,SAI
13,269.16770667396827,170.3673650912708,HAD
14,128.11440630240074,121.2809406478782,HAD
15,155.33651147043207,221.8907985392617,SAI
16,251.12483125854848,287.8343241027906,SAI
17,305.5828631837502,326.25262757012916,SAI
18,332.8754378352941,336.7778116242424,SAI
19,333.17362579983933,329.80406402245615,HAD
20,323.26907407407407,305.92857142857144,HAD
21,183.3493266996239,118.55508024022924,HAD
22,138.380355766586,209.65414384212278,SAI
23,188.4135107640811,174.40001514372946,HAD
24,242.9423995864935,249.30651572363635,SAI
