Minisector,HAM,NOR,Fastest
0,261.7063930095161,259.2282404345679,HAM
1,216.35432116989247,234.89867658175325,NOR
2,141.0577426816193,148.47121011318671,NOR
3,230.10735023893002,244.41107420341567,NOR
4,269.33421733052717,268.79816661333336,HAM
5,179.4951715273049,186.51505090956022,NOR
6,99.80420220969494,102.32074610217506,NOR
7,136.12415267396324,135.4787504885077,HAM
8,248.21667628464013,248.79465094379756,NOR
9,163.54508503826548,173.56013451209094,NOR
10,183.91286087406635,188.36585525014107,NOR
11,253.99272339004102,256.32489305982904,NOR
12,234.16182269162562,250.73481437377717,NOR
13,251.30990791991533,266.3139999146667,NOR
14,279.12323336811596,284.42688949137886,NOR
15,264.7504620355624,285.6538201777778,NOR
16,141.32097813173547,150.23871720771447,NOR
17,232.0618028586884,235.95621675509946,NOR
18,278.93904751701865,276.4168972564029,HAM
19,290.7713767884058,286.8524854266342,HAM
20,295.06159411014494,288.99109620952385,HAM
21,300.83829363809525,291.11439393939395,HAM
22,148.51642731731155,154.28666457725933,NOR
23,84.79528129856695,84.52341220343297,HAM
24,168.27287129174152,171.07202348952381,NOR
25,241.88333226666666,,HAM
