Minisector,RUS,GAS,Fastest
0,241.16573698033795,243.66932704335238,GAS
1,272.17831581698164,276.4532774826667,GAS
2,172.84490319314224,170.08741963852145,RUS
3,147.18533665745622,152.79442544127136,GAS
4,255.94604492395385,255.30569457005714,RUS
5,267.30865057391304,264.8351278416649,RUS
6,237.574839315873,226.42067257641025,RUS
7,215.88528477586394,203.53932907446904,RUS
8,157.90070193396664,157.16732288156865,RUS
9,214.8230856449261,209.93026589170069,RUS
10,265.78557703634175,270.2288023873111,GAS
11,120.88305769547483,127.65616388896285,GAS
12,203.4315726604345,201.76303567494435,RUS
13,266.6092275912304,270.0396373501968,GAS
14,286.0714690835088,291.18868867029903,GAS
15,289.76995758814815,297.5401523369928,GAS
16,238.4344063195617,219.8159560191852,RUS
17,132.36242656349089,133.3888504077076,GAS
18,134.53165562939037,129.51742628311814,RUS
19,121.40993494096529,121.55602826754118,GAS
20,226.62669041140933,226.84528550329483,GAS
21,254.79541449722407,257.88579731803344,GAS
22,246.04744914839827,240.86937567706036,RUS
23,222.55460974398773,208.58974445533457,RUS
24,139.80338197525967,136.23675526855078,RUS
25,211.82499413333332,,RUS
