Minisector,VER,BEA,Fastest
0,246.1274349536471,248.33499344511503,BEA
1,283.1582261100144,284.737499952,BEA
2,182.5926925458093,163.11658635676338,VER
3,154.49304275008066,155.60030850584695,BEA
4,258.84620313870374,254.16620999346995,VER
5,265.087040115942,269.245641420951,BEA
6,230.34828684028642,235.88483028223143,BEA
7,210.08045096688363,200.57628596899573,VER
8,161.90825404606062,161.44569326037623,VER
9,212.54781054238626,216.59280357529445,BEA
10,268.9151384066667,269.4970158706842,BEA
11,125.34384569976264,122.72758096396062,VER
12,215.19561850040247,216.0953551331482,BEA
13,274.83219995196333,277.1513415248198,BEA
14,296.7111491492668,304.8712175511203,BEA
15,307.2406397908433,319.23715535772766,BEA
16,245.0366996687482,215.28897265786023,VER
17,133.27931915655472,128.2762072394847,VER
18,132.48685953860726,131.21039643578644,VER
19,122.17765253862062,120.26088944346361,VER
20,225.8146022870963,221.0472561963273,VER
21,261.01240610628724,256.8570668394198,VER
22,242.8589721249133,233.09160144365134,VER
23,227.6909186507562,209.14334387926823,VER
24,140.63886228485993,137.63006903526957,VER
25,216.47169747525732,,VER
