Minisector,LEC,TSU,Fastest
0,260.50083282857145,254.01202240815462,LEC
1,136.44313745239566,134.89304473936508,LEC
2,206.86518620555916,201.41626872898922,LEC
3,247.31452370285714,244.92215160090703,LEC
4,255.14118279183975,256.3753447253333,TSU
5,174.64396415061003,179.54631660003798,TSU
6,145.8742617793016,149.6344956289293,TSU
7,184.10254791538284,193.22740739047617,TSU
8,102.95935631278756,104.70949940991747,TSU
9,71.1024909550716,74.65098018307171,TSU
10,98.02791612765871,98.10999095853248,TSU
11,192.59407516309773,181.59009404349376,LEC
12,247.9786338369414,241.89079864161724,LEC
13,269.94507609761905,264.4061114666667,LEC
14,281.17440924835165,275.6762470791177,LEC
15,110.61044685620722,106.66280044936049,LEC
16,162.0873198640254,153.8894127574651,LEC
17,187.48720476756694,180.54205741155556,LEC
18,199.04555009705217,200.72226162554006,TSU
19,217.51444695505026,206.20367048,LEC
20,139.34941202540605,142.41146044449712,TSU
21,104.910282432994,104.3904742636041,LEC
22,100.02962499288127,99.96675095129676,LEC
23,203.05137178818552,199.18564523789473,LEC
24,248.34752726153846,248.2582166003458,LEC
25,264.9499968,,LEC
