Minisector,ALB,GIO,Fastest
0,320.1284231556663,317.37105996190473,ALB
1,326.99953507032444,321.08981478095234,ALB
2,322.0502383009524,323.7887633156944,GIO
3,170.17899558204834,173.20349732624808,GIO
4,134.6152659546547,134.80145858566027,GIO
5,268.7600492503556,266.85433991111114,ALB
6,301.1035374017403,296.9355654144091,ALB
7,309.075,304.0029761015873,ALB
8,257.9682619977143,261.47948033425547,GIO
9,156.02973076178915,150.77302405946574,ALB
10,223.63664108140162,217.95468581834962,ALB
11,224.87709736780045,226.29567798518516,GIO
12,201.2332607172414,198.723712851739,ALB
13,274.75659693333336,271.60670205217394,ALB
14,307.8419640380952,303.31964266666665,ALB
15,316.9823107714873,311.06397243508775,ALB
16,263.5294359384681,253.79878710857142,ALB
17,217.14940155246006,210.69827457471266,ALB
18,277.17130374801644,275.0730891615342,ALB
19,309.8336618825924,304.94172577523807,ALB
20,321.98552639999997,312.11416656,ALB
21,298.3909121499321,298.2958316908339,ALB
22,212.7322658662288,208.5752048101587,ALB
23,271.32151355577463,268.1464927455391,ALB
24,305.0961452553288,301.1347910933333,ALB
25,,311.0,GIO
