Minisector,HAM,BEA,Fastest
0,288.4696769129634,285.80208282190875,HAM
1,306.42070298543285,302.7630786074074,HAM
2,298.20710448533333,300.7261236801832,BEA
3,196.05681951724088,199.25882514459863,BEA
4,232.50510423087252,232.93709493216116,BEA
5,219.19548739896877,222.64042967836735,BEA
6,211.70966705348658,212.75092409599998,BEA
7,229.42091448465098,229.96040864114696,BEA
8,267.5520128369335,264.4294995772583,HAM
9,272.6245640195346,265.14624449261083,HAM
10,176.0622602686324,174.97135807322752,HAM
11,234.64991383176704,235.54928666914842,BEA
12,114.95841774879257,118.24645821049809,BEA
13,223.2054878861942,222.91310557206552,HAM
14,276.0378085982203,277.38613226099557,BEA
15,293.13742407757576,285.88418350994283,HAM
16,219.53996342413913,216.2514823851234,HAM
17,184.69764040156824,187.06570984159487,BEA
18,265.7157750896886,268.1163074985538,BEA
19,292.61887272742877,291.05515022742856,HAM
20,304.63649112675654,301.1794456877121,HAM
21,305.40482250525156,301.73211231122656,HAM
22,280.4067516872994,269.2601768969453,HAM
23,117.85917005578096,120.3555268629483,BEA
24,245.31792220100124,241.6408107754882,HAM
25,,272.9624992,BEA
