Minisector,HAM,OCO,Fastest
0,285.8466508243266,284.28419855875853,HAM
1,253.89136411225485,242.36459073361263,HAM
2,269.81100076286384,267.6863896332362,HAM
3,278.7740648235433,277.6388901925926,HAM
4,138.1995312408636,128.12313930801614,HAM
5,211.9516835856176,212.648322469696,OCO
6,266.56611062332314,268.55980114115914,OCO
7,285.276731490437,290.7140348856721,OCO
8,294.3536457111111,300.6281249333333,OCO
9,299.2263020666667,305.32232447381875,OCO
10,287.0921545512954,295.7089266934931,OCO
11,105.99688812471163,105.12265594032634,HAM
12,223.45570279458127,204.83468668116657,HAM
13,272.67527623609317,272.6195404038483,HAM
14,278.62773530817714,278.4385944497187,HAM
15,140.6801993035163,131.70119988649625,HAM
16,213.6488580192689,201.51641466013893,HAM
17,260.5740571079148,254.79747888138445,HAM
18,265.40900009170963,252.83482202666664,HAM
19,250.58337464665806,240.21452777252293,HAM
20,158.02206531160647,146.10671975155705,HAM
21,196.79618052377023,185.74927873068634,HAM
22,183.69722418347752,171.52694742294076,HAM
23,196.65033716629858,182.89615913163695,HAM
24,255.0273729693259,245.9964541740676,HAM
25,274.31840806158266,272.2499968,HAM
