Minisector,RUS,ALO,Fastest
0,296.4725212482951,303.2877589555073,ALO
1,236.85590155767193,215.88595791227053,RUS
2,135.12382603096057,131.2421071079162,RUS
3,216.22618672620078,218.78494396919788,ALO
4,259.17110397327355,264.286870075739,ALO
5,283.4104980711111,288.69006099666666,ALO
6,293.1325000147301,295.6538807508497,ALO
7,270.9332217697371,257.71132075202064,RUS
8,173.7376395986134,171.53207560799308,RUS
9,234.7334543130326,240.38311140567924,ALO
10,265.90986135111115,268.0211468265793,ALO
11,257.62443995597886,259.6007849356725,ALO
12,209.00121010250072,206.2024606429807,RUS
13,129.40210085506143,124.43437185975549,RUS
14,123.24537219919824,125.02678993691562,ALO
15,159.4290864807895,160.50673848356797,ALO
16,121.46489811782067,123.17550473196324,ALO
17,231.86386151762576,226.50242732946532,RUS
18,176.55280945218533,173.0156545219614,RUS
19,163.14512389468564,162.7649513367119,RUS
20,244.63542271435622,244.47506570333334,RUS
21,269.94262298939725,271.8005329766261,ALO
22,283.42169328507936,293.4030633720635,ALO
23,291.8290692886003,312.34130318933336,ALO
24,295.72209574331026,323.27148432285713,ALO
25,,327.0,ALO
