Minisector,HUL,NOR,Fastest
0,276.58203174015955,274.91598373243573,HUL
1,295.81086846245455,294.9716666168889,HUL
2,294.06213161126175,290.76472569680635,HUL
3,187.24293529128292,178.9191936856812,HUL
4,123.27955691886905,122.57816341520731,HUL
5,238.859811372043,239.36910918479836,NOR
6,284.59656874508613,279.8013791052242,HUL
7,290.36746802051283,285.3815707897436,HUL
8,179.19194959070674,176.8858125109867,HUL
9,141.46638034051148,139.64993725079464,HUL
10,251.7498623079108,251.36048236432265,HUL
11,287.0564842431952,286.4784623736003,HUL
12,300.5828158767175,293.1203334115555,HUL
13,286.869333248,287.00833322666665,NOR
14,300.62132906666665,301.96353560375525,NOR
15,306.2929131021568,303.7452653506494,HUL
16,259.7816980571428,253.65482867413215,HUL
17,223.2378197736648,227.64162998918553,NOR
18,280.2974510639495,282.4703828258144,NOR
19,303.78027777777777,301.32533316266665,HUL
20,301.5163461505437,300.0474463539487,HUL
21,225.86650052967914,228.6766297501854,NOR
22,255.12294826773964,253.73643745679107,HUL
23,138.2681047943879,133.23211634579457,HUL
24,216.04081657703293,217.84792220940614,NOR
