Minisector,RUS,HAM,Fastest
0,310.5209711643592,304.9373891555957,RUS
1,246.57503877723613,236.2628714138351,RUS
2,120.74970313345247,130.64283335070755,HAM
3,237.77615599223765,239.90483706489206,HAM
4,194.45418042073234,191.26712426383253,RUS
5,244.12732864510133,239.449595388689,RUS
6,225.7319682310178,228.00980110417234,HAM
7,256.84367866455716,250.85328552563809,RUS
8,295.8076502265688,293.4998270072245,RUS
9,200.5831051977795,204.55351752106057,HAM
10,207.05268278799286,211.0527802893886,HAM
11,277.5306011085325,278.0563928719881,HAM
12,213.5388643373674,205.89195435605578,RUS
13,252.16306180243035,255.07413434357042,HAM
14,298.84493830544005,295.75613217070446,RUS
15,314.83317650086957,311.62294570766176,RUS
16,319.9669414405079,315.22127975328794,RUS
17,205.7431244475388,209.7905222113243,HAM
18,260.24047745193343,265.24051733450545,HAM
19,300.81622656426794,301.395611872724,HAM
20,316.6127696834161,323.5586384594609,HAM
21,319.22491183171843,327.0712297904762,HAM
22,150.25672274710405,153.5774032549012,HAM
23,236.0129933656795,244.60384072901235,HAM
24,292.2505696388162,300.1174068469793,HAM
