Minisector,BOT,PER,Fastest
0,257.5410717688013,262.5988567749413,PER
1,140.9123370776124,129.76728897163713,BOT
2,261.8569467945739,261.97198315402295,PER
3,306.62270940661745,309.9200638512967,PER
4,305.83177106666665,311.78611906438096,PER
5,312.03033335466665,321.63308721914,PER
6,317.6786232115942,336.0154762467909,PER
7,316.9902469660447,342.2540953757006,PER
8,216.1672957965288,203.50408121081082,BOT
9,198.25240702385707,187.77072718124063,BOT
10,195.4543499205199,185.93418451872245,BOT
11,163.98497008029975,157.3539873230946,BOT
12,247.44748414623658,241.93757849772365,BOT
13,281.8740744691358,275.6376413442523,BOT
14,279.8603395160494,272.7255569044092,BOT
15,285.2511230769231,275.3724354844141,BOT
16,194.0387066105263,181.57972363369385,BOT
17,198.45441348854828,189.59017193417577,BOT
18,238.48591043932413,232.19972448684138,BOT
19,286.61967210735446,283.11423787748294,BOT
20,306.89308018835976,306.89031181392915,BOT
21,313.3071428266667,315.44927540869566,PER
22,310.67552092063494,310.92078366349205,PER
23,271.58330819679003,260.86959718283316,BOT
24,115.09628635079514,114.51182420965023,BOT
25,226.5749952,224.30000213333335,BOT
