Minisector,RUS,NOR,Fastest
0,293.25854158933333,288.72320772909336,RUS
1,305.2180201231614,298.85684592592594,RUS
2,309.18402880802006,304.3847144133067,RUS
3,186.92295432344125,200.34853639356407,NOR
4,210.27849195936508,213.61264779142465,NOR
5,206.59298290796255,204.07669334110412,RUS
6,264.9310512971705,261.712127219512,RUS
7,260.1274683841833,262.435201591342,NOR
8,216.94938540259741,222.0563428739527,NOR
9,210.66698212633202,221.6030085775238,NOR
10,137.47047175059296,138.757945016306,NOR
11,204.21833355419815,214.73036947130603,NOR
12,185.421186590823,182.75540514654378,RUS
13,254.81558725587303,252.7184779073016,RUS
14,180.63793950517373,189.61078208815775,NOR
15,234.00316771555558,230.36627247674735,RUS
16,281.21952689975075,277.76149002136646,RUS
17,292.1419586213152,289.4994024302575,RUS
18,284.89121173399224,282.1522946365714,RUS
19,267.4597224622222,271.5284386218275,NOR
20,266.3746565643699,272.37263755064754,NOR
21,260.24735051993076,264.63474280671204,NOR
22,249.91032955897842,242.56583854745256,RUS
23,208.7605987525199,210.18759684017772,NOR
24,270.2614999395692,266.5038543978248,RUS
25,285.5,,RUS
