Minisector,GAS,OCO,Fastest
0,267.272000048,271.0925075177853,OCO
1,114.27629180381564,108.92102209072448,GAS
2,159.64662179490662,158.5015679567075,GAS
3,205.31288544820515,201.6378395654321,GAS
4,158.61007319535213,154.05261206284104,GAS
5,237.58632285856103,236.96938980969017,GAS
6,187.66438448507935,169.74154826666668,GAS
7,133.38288643708054,131.99769642200926,GAS
8,232.9409514966082,235.18349381079366,OCO
9,273.59771009282855,281.5616530831704,OCO
10,268.5176765873016,278.90089189714286,OCO
11,143.87739253381605,144.05533439286185,OCO
12,225.06857104573,222.78244123796622,GAS
13,272.6507090607149,272.43964606577777,GAS
14,261.32631356000974,253.09474102285398,GAS
15,100.68361950618619,98.30738580274576,GAS
16,219.18013768523556,221.5955096178084,OCO
17,267.2847418464918,270.8816664252631,OCO
18,288.660289880776,300.7284319384319,OCO
19,298.20452364755243,315.29967859820175,OCO
20,303.6528249059776,324.4319958987928,OCO
21,279.4060784313726,258.7713092142849,GAS
22,149.32451531477844,148.338429908392,GAS
23,222.1139896517636,235.66839045187945,OCO
24,272.2413725803922,280.54128906666665,OCO
