Minisector,STR,NOR,Fastest
0,297.8149891590329,311.01084623845816,NOR
1,306.8290818612245,324.9358980923077,NOR
2,312.7625001025641,333.1825551355311,NOR
3,313.6955782965987,337.7315478349206,NOR
4,203.30725846511524,210.73597177281877,NOR
5,94.57309253333334,90.30951135734989,STR
6,196.36272777437037,190.55412786960056,STR
7,254.901226227451,250.70186104761905,STR
8,282.708334,271.7864588,STR
9,286.5452504910441,280.722180291155,STR
10,149.54688795202821,154.21902390204082,NOR
11,166.9013466588268,166.09520211103631,STR
12,239.99019708235295,233.40789535438594,STR
13,242.93200883809524,235.6674798275689,STR
14,147.41515867543347,147.8060919389453,NOR
15,205.08174775873016,212.31178768761907,NOR
16,258.7328877714286,262.0476199809524,NOR
17,282.2589367511235,281.3982767871759,STR
18,295.64920663365075,284.6172221155556,STR
19,299.6997221688889,291.01527815111115,STR
20,284.95838081652346,287.11600435969297,NOR
21,147.86758580603873,149.21680981579073,NOR
22,201.81468464761903,210.53968518095238,NOR
23,257.7928615093756,261.6048867275532,NOR
24,284.7636120888889,284.76111160888894,STR
25,,293.7062512,NOR
