Minisector,RUS,LAW,Fastest
0,293.50661801978134,291.19891309230854,RUS
1,305.444129224,303.08404898812125,RUS
2,309.09251789409734,304.76095111495295,RUS
3,190.51937647084213,181.23491997819377,RUS
4,212.5042686456508,209.65093106431087,RUS
5,203.82679243706622,205.89464272761904,LAW
6,266.2515069052181,265.00703384643396,RUS
7,264.48144016350716,243.6436031085714,RUS
8,217.77006330180285,212.45266945463763,RUS
9,208.02281721674305,204.68393095238096,RUS
10,140.22865765311738,146.30605464659521,LAW
11,198.2961028929715,197.13121232066118,RUS
12,181.3791344948148,194.36906337219048,LAW
13,255.35697604113162,252.8800437958948,RUS
14,173.3644781081489,175.857389212778,LAW
15,236.2354066742834,234.81373898874784,RUS
16,282.3960672577942,280.18139274735927,RUS
17,292.68825898336564,290.88245618847117,RUS
18,287.6457564677978,286.758737609697,RUS
19,265.7300679793491,267.7692430478204,LAW
20,266.20731973675305,259.0519096969697,RUS
21,266.18416542376815,263.5348656430853,RUS
22,229.27134181563483,227.46579757149914,RUS
23,204.79117312152934,205.8530202232326,LAW
24,270.21499968,269.8930283851852,RUS
25,285.63749952,,RUS
