Minisector,VER,STR,Fastest
0,294.9966157521886,297.2372303470605,STR
1,216.05775932835218,209.34275672454513,VER
2,233.3262801495591,225.11109243956042,VER
3,277.3173577994478,275.33324595070707,VER
4,241.92732812609694,242.56484712695251,STR
5,133.6630549912837,129.17466887174336,VER
6,212.52043569824056,215.65743582419756,STR
7,261.56829195545356,260.36811526402346,VER
8,251.46698733602182,252.10431497281385,STR
9,241.05832491745593,237.67274647390946,VER
10,275.88352765084886,274.525700429822,VER
11,289.6422955577274,291.64676226449757,STR
12,297.45618639906024,304.06505959619045,STR
13,301.56904765968255,314.1774967906878,STR
14,295.39677814923783,316.7339777134802,STR
15,259.304627584265,261.4123943449205,STR
16,248.33281112333725,246.96896094126984,VER
17,278.45028876882486,282.3695129662467,STR
18,285.38670480246793,301.2618340092517,STR
19,161.22987560662085,153.67748910685748,VER
20,211.41180323706152,214.34081016648204,STR
21,182.85665483009672,190.04881638234014,STR
22,140.42650735409995,140.43429446767678,STR
23,238.48313151685923,237.31282635497837,VER
24,281.54343441454546,279.2236744283983,VER
25,293.0,,VER
