Minisector,BOT,PER,Fastest
0,305.5235414933333,299.3724206222222,BOT
1,309.7713815578947,302.32648689301357,BOT
2,310.109649122807,296.2320802005013,BOT
3,226.341691136,220.38333333333335,BOT
4,229.50927383199198,222.4040688788726,BOT
5,121.1557552779002,117.55680076070652,BOT
6,231.46180436825398,227.37549994666668,BOT
7,270.2528352176595,267.55158730158735,BOT
8,218.98170552098765,224.60416689230772,PER
9,122.93926200802584,124.06691856452726,PER
10,243.86076080152378,242.0472221777778,BOT
11,255.1627735396206,237.8532458740057,BOT
12,135.86567530158732,136.36434108527132,PER
13,226.29804617922537,220.03684637589092,BOT
14,270.90583296,267.0801586793651,BOT
15,228.58498723315455,217.34336236529236,BOT
16,171.84278108465926,168.34240169411765,BOT
17,247.05632299880392,238.47292471236605,BOT
18,122.51542347407407,120.73105386053528,BOT
19,143.3896830837886,146.03485372589697,PER
20,209.03582438249865,203.5211338611048,BOT
21,263.8333325575758,255.34342647784678,BOT
22,280.94186493968255,273.1373015873016,BOT
23,289.5739526491018,282.32229636991167,BOT
24,298.69824532210527,291.65687493333337,BOT
