Minisector,RAI,HUL,Fastest
0,272.0035715809524,268.8063183214652,RAI
1,137.34774477781704,138.10467813226762,HUL
2,187.58442363597885,189.91702436736546,HUL
3,244.21888737457954,243.57009498817987,RAI
4,261.9355166359383,261.0875853823129,RAI
5,183.5554456931743,175.00854845398877,RAI
6,143.16874263459772,144.71626596246384,HUL
7,177.03739844276328,176.44821302857142,RAI
8,101.86926809196763,102.02785079304005,HUL
9,75.04137355276536,76.82925138266971,HUL
10,90.92205229227834,91.98714571521153,HUL
11,167.55453957503417,174.6436099958929,HUL
12,245.12979209403463,243.2304919072314,RAI
13,270.8265695419545,268.15261769050664,RAI
14,277.5648530657508,279.7602578051282,HUL
15,110.52155754285714,115.57711838819469,HUL
16,140.33200407968877,135.13982372917434,RAI
17,193.12688209309542,196.08560364181065,HUL
18,195.18234138910748,195.92238152635971,HUL
19,218.38942774986938,220.69339381618326,HUL
20,128.89096788510062,135.11115114140676,HUL
21,120.81609021968254,115.00112860927523,RAI
22,89.07107711916576,89.92704517986459,HUL
23,190.2494708152048,190.0179434530174,RAI
24,249.96808074285715,247.84214814437556,RAI
