Minisector,NOR,LEC,Fastest
0,249.36069129225442,247.29678643094667,NOR
1,284.1860209253333,285.14054926843477,LEC
2,158.75548451663593,185.92601330139868,LEC
3,170.0749862029426,157.8904872213025,NOR
4,257.49087904447066,254.8544009504228,NOR
5,265.4170667444976,275.16915158673044,LEC
6,235.1989538881119,247.93502241937426,LEC
7,207.5551718727104,219.55078727807197,LEC
8,163.213173869325,159.39516788185654,NOR
9,221.05940045113255,206.49917506584183,NOR
10,272.17483367915895,268.4913562050575,NOR
11,130.47539843823537,126.60333968787809,NOR
12,216.93100083065661,207.40712633778767,NOR
13,275.87538988549846,274.0944347488057,NOR
14,298.88293145333336,296.53921220389157,NOR
15,308.4552631578947,308.8187420238961,LEC
16,247.18691331200134,259.75018750021025,LEC
17,130.45736889063338,125.66263206005709,NOR
18,131.0572226082526,126.57907598149296,NOR
19,122.7413453426708,117.82439350913458,NOR
20,221.5910517934118,224.59628992923192,LEC
21,248.4787757484737,259.179503436853,LEC
22,245.51051887542857,241.06154232996724,NOR
23,222.76179913035114,222.68322383262188,NOR
24,135.49343724937188,132.7553434953925,NOR
25,216.0888888888889,213.98718293333332,NOR
