Minisector,HAM,VET,Fastest
0,305.1404513333333,302.7381943111111,HAM
1,289.7810588756849,287.3249520395986,HAM
2,181.50345331317496,172.45783527414153,HAM
3,205.21052862641505,199.6249100961443,HAM
4,228.63890562723893,226.70655040218796,HAM
5,268.7897953599224,269.26084461751805,VET
6,238.0113113904762,227.04944618666667,HAM
7,213.04583195235213,202.1585809857583,HAM
8,169.0070472800993,162.0533000187617,HAM
9,178.9063566596491,176.3643933233083,HAM
10,184.2151117259941,181.2621593873814,HAM
11,209.7007844327246,204.12978978704382,HAM
12,241.50171096155046,236.2518129969287,HAM
13,172.35000761442308,169.24705944733415,HAM
14,249.76155035202822,245.98932697687073,HAM
15,277.17972740491524,274.8517310933998,HAM
16,264.26916740266665,264.17197692221634,HAM
17,250.15043418773433,255.20811168723333,VET
18,244.13120938703906,249.65154275555557,VET
19,244.08898883809525,248.6601192908425,VET
20,258.6742525835326,260.1389231190047,VET
21,189.21512852932224,196.97576046869236,VET
22,224.73287535167955,219.53617146933982,HAM
23,279.08251414603177,275.9774797206349,HAM
24,297.8940396572221,294.542935568265,HAM
25,303.25416640000003,299.98333297777776,HAM
