Minisector,OCO,GAS,Fastest
0,248.59362970369318,250.77221904598932,GAS
1,126.35578104835932,116.20985203554994,OCO
2,260.135996084255,260.3638648455214,GAS
3,302.7188073695073,304.9894051558045,GAS
4,304.06255680783215,308.0990963901876,GAS
5,312.555811797551,319.35269282816427,GAS
6,315.9376663812987,332.65164666031257,GAS
7,310.93098566505495,336.08280436218297,GAS
8,195.03735328084656,178.664431911549,OCO
9,183.072234270327,173.49589268791289,OCO
10,179.80831707666613,173.26650522028947,OCO
11,168.36087324996683,163.66947483958123,OCO
12,243.2747575011173,247.26700839564475,GAS
13,269.5414005107907,256.700587012987,OCO
14,273.1466491661662,266.77557141079365,OCO
15,265.9093179881275,269.00743733632623,GAS
16,169.12553044130254,162.38956672020214,OCO
17,175.19719830402778,175.7794284075241,GAS
18,229.53914824741855,226.65083454747452,OCO
19,277.9790274452279,280.3632923146812,GAS
20,300.9384385382953,301.9106593857567,GAS
21,309.09540116707734,309.7916,GAS
22,305.30707226610616,307.88602980773607,GAS
23,250.82432750352834,252.48603318903318,GAS
24,112.78443742625798,110.09645604229786,OCO
25,216.2,220.33928685714284,GAS
