Minisector,KVY,LEC,Fastest
0,299.59440810232144,293.46815446580086,KVY
1,317.87493704661654,304.45395824,KVY
2,327.22753560238846,310.7016273897455,KVY
3,325.7962728421053,311.02623009211095,KVY
4,186.13104146972273,199.73722853382068,LEC
5,225.7687221366967,224.05140718078655,KVY
6,273.7405806119177,266.4645829818182,KVY
7,266.3660636289855,271.83145860526844,LEC
8,190.40706817851165,196.3397327142857,LEC
9,152.17994325101694,159.30548322388748,LEC
10,190.249337932584,178.6090777185877,KVY
11,264.0865076133256,257.3350855010187,KVY
12,253.7617242282399,255.69427145396824,LEC
13,228.37113819524416,230.72655605043593,LEC
14,269.34588705108223,268.2053403210686,KVY
15,177.06963823548554,179.31320143200776,LEC
16,228.5395056103963,217.1804005588255,KVY
17,254.501993778882,252.8700361457273,KVY
18,138.01722543010817,139.2037182746136,LEC
19,245.4769068153489,236.65951366887427,KVY
20,286.3679919030303,276.5332480653061,KVY
21,260.10654910807455,272.0557983072464,LEC
22,146.46291647484873,148.68772183100512,LEC
23,214.53120679007762,203.6488592751923,KVY
24,274.7493697934027,268.50135234632035,KVY
25,289.8250016,284.4166670222222,KVY
