Minisector,LEC,ALB,Fastest
0,261.25944484935326,257.5192416609524,LEC
1,136.96930591738519,133.94310510644115,LEC
2,266.78139965170067,268.59320690705516,ALB
3,311.1791717995604,311.958000128,ALB
4,308.6541505227278,306.7809028,LEC
5,315.6074017391304,315.0932971594203,LEC
6,321.35425358888887,319.82136423108017,LEC
7,320.9215578898551,317.44383185976534,LEC
8,212.16491569273077,209.0725967018867,LEC
9,195.69672506658935,192.86635232470798,LEC
10,194.48099857243108,185.82284133634764,LEC
11,165.287694849806,169.341164958934,ALB
12,252.45121281845715,254.01272947841338,ALB
13,277.05824167032966,275.36146882048536,LEC
14,281.5925929876543,279.83960572014655,LEC
15,284.7977043162094,279.67177942941873,LEC
16,189.11237577458195,186.05324155918277,LEC
17,194.2130743572997,193.85766382676692,LEC
18,240.2565844313331,242.0594224243284,ALB
19,288.2377145478095,290.9368394467337,ALB
20,311.36799748591426,312.08710283809523,ALB
21,319.7119877067362,317.8234376,LEC
22,317.85368735877495,313.88263911111113,LEC
23,272.98152410864196,247.86641775681818,LEC
24,116.90216418679007,115.76629045022115,LEC
