Minisector,BOT,SAI,Fastest
0,297.0748188289855,294.92765146320346,BOT
1,252.0379326978751,245.50881435897435,BOT
2,197.75781442457756,203.38238383506476,SAI
3,266.3705698751781,267.08665029619516,SAI
4,233.07440533333332,231.35480603880072,BOT
5,123.26068358828549,118.26465918473129,BOT
6,181.27528331294118,178.7084021057435,BOT
7,260.05933294933334,258.90562505777774,BOT
8,295.5774211590848,286.615530417316,BOT
9,309.8762500266667,298.94687501333334,BOT
10,313.8076516358125,304.6994920141096,BOT
11,240.18092947692307,207.46837451305683,BOT
12,145.09256566735098,152.01184028526725,SAI
13,260.3886827294219,260.43799861901795,SAI
14,296.5582299163646,288.35435808435375,BOT
15,307.04333333333335,295.00795130361365,BOT
16,300.7309522793651,292.8916080295326,BOT
17,267.72499999999997,248.23097445591827,BOT
18,185.09205185344803,182.39326988174784,BOT
19,192.48956866054976,171.72588312882388,BOT
20,181.36239613876464,199.59683943724295,SAI
21,247.36739287733909,239.57706167574858,BOT
22,125.89273536394667,123.00946552308659,BOT
23,200.85888895695606,214.24157541594468,SAI
24,277.14412901818184,276.3302823654619,BOT
25,295.32500053333337,,BOT
