Minisector,PER,TSU,Fastest
0,279.41859830787877,284.85340136054424,TSU
1,292.4420609105473,293.42994628593306,TSU
2,297.79032120117785,299.1359524190476,TSU
3,297.82619762229274,294.93335600907034,PER
4,168.63010107598228,158.0460536620693,PER
5,203.43906475720163,194.6001508879121,PER
6,232.15823288318217,213.14642841074925,PER
7,263.89675268244895,255.52015873015873,PER
8,252.00902863480468,236.98459555095127,PER
9,155.18648475564004,149.0783853118989,PER
10,216.8773777542798,217.61682531876298,TSU
11,131.39065860502163,126.08178710264549,PER
12,223.41815232433748,223.74341238471675,TSU
13,175.52635330521406,171.53850171738122,PER
14,211.91127697772984,213.4866516092603,TSU
15,226.23423015902807,217.69593564606063,PER
16,255.61433201874894,243.78940988835726,PER
17,283.66484937142855,278.4139575457432,PER
18,153.14393744279113,148.41037761588464,PER
19,164.27727968170373,160.49257196692972,PER
20,139.96438484401355,130.99658745006107,PER
21,153.58134135869707,145.3014055925558,PER
22,110.9591965904933,107.14725251687577,PER
23,217.58644956675323,207.5264557445414,PER
24,263.40286845765047,260.9525324675324,PER
25,,278.01666666666665,TSU
