Minisector,RIC,MAG,Fastest
0,297.68928604444443,314.8097686583235,MAG
1,245.5040835835883,253.5461676488,MAG
2,201.7403957858785,196.08981203610549,RIC
3,264.71224907955815,264.46833531333726,RIC
4,237.48970175661375,227.72543174658458,RIC
5,118.80790112620134,116.7455462058141,RIC
6,178.52998909821372,177.0846211524968,RIC
7,257.2405807938511,257.13010551286317,RIC
8,288.29695540394687,288.08582360883776,RIC
9,301.75758959999996,301.16191406011524,RIC
10,305.51508932571426,306.47280335731085,MAG
11,230.4279406062395,227.686688292233,RIC
12,149.27943225508412,143.10586081220546,RIC
13,254.6975939378882,255.93513958606235,MAG
14,287.82353436848194,287.587905634632,RIC
15,298.07247090880253,288.768269827932,RIC
16,291.7293651301587,286.28095444621607,RIC
17,256.139696987401,262.24270855899834,MAG
18,183.21212109090908,184.15287579117137,MAG
19,185.89420258539445,188.8230757187002,MAG
20,174.05398527603663,181.25527785366558,MAG
21,244.79094974554334,250.73534513049347,MAG
22,127.88199102122677,126.77819297343622,RIC
23,192.45448845247313,201.25719070692412,MAG
24,275.5666910920635,275.8560731017704,MAG
