Minisector,HAM,OCO,Fastest
0,305.1404513333333,298.57635536030654,HAM
1,289.7810588756849,280.7635555555555,HAM
2,181.50345331317496,171.32071414768342,HAM
3,205.21052862641505,199.14393936161616,HAM
4,228.63890562723893,221.73352863025158,HAM
5,268.7897953599224,266.7221666986667,HAM
6,238.0113113904762,226.90827808479096,HAM
7,213.04583195235213,208.11015646666667,HAM
8,169.0070472800993,164.2249009168254,HAM
9,178.9063566596491,173.37051366290598,HAM
10,184.2151117259941,176.1562812631579,HAM
11,209.7007844327246,205.06280356979377,HAM
12,241.50171096155046,237.45743996190478,HAM
13,172.35000761442308,164.89841383858985,HAM
14,249.76155035202822,244.28445885440556,HAM
15,277.17972740491524,271.546428552381,HAM
16,264.26916740266665,265.38700720536923,OCO
17,250.15043418773433,257.34221727665727,OCO
18,244.13120938703906,247.7558203823633,OCO
19,244.08898883809525,243.53731703363226,HAM
20,258.6742525835326,258.47500023466665,HAM
21,189.21512852932224,195.48539332387872,OCO
22,224.73287535167955,211.8634175849624,HAM
23,279.08251414603177,273.20523591587664,HAM
24,297.8940396572221,291.4165115031056,HAM
25,303.25416640000003,296.2958336,HAM
