Minisector,RUS,TSU,Fastest
0,257.1362515843518,250.41334078375723,RUS
1,125.64276338007923,123.19604049282337,RUS
2,258.78707854008906,259.84776449937857,TSU
3,304.5576116391096,304.1270347976,RUS
4,308.0780403492675,304.17733514432234,RUS
5,317.16328570148573,311.09455318574544,RUS
6,324.42058970812894,317.3273555683556,RUS
7,326.03683486188265,319.54070638526986,RUS
8,189.2880746099453,179.90679190793477,RUS
9,190.82044574648666,185.70144434625334,RUS
10,183.7097684632344,177.83921460594755,RUS
11,169.6439719279949,163.53452118263897,RUS
12,250.88983319372002,250.50716378428572,RUS
13,260.93891609790467,271.1374771952442,TSU
14,271.4025777561097,270.2920561909678,RUS
15,270.2312002760427,265.4552431312136,RUS
16,175.87634831209664,172.80031866711818,RUS
17,182.53796784303523,180.61906929875167,RUS
18,225.41690519503697,227.59697084146939,TSU
19,279.72135139121417,282.6441903604726,TSU
20,305.41640773079365,308.1467787011389,TSU
21,314.4179887144577,316.3901104262935,TSU
22,313.7851147493878,316.58586170285713,TSU
23,251.55444050938377,256.3860329009939,TSU
24,110.11973550293128,106.0339322441156,RUS
25,223.42500195555556,221.7562464,RUS
