Minisector,LEC,PIA,Fastest
0,260.50083282857145,259.31056469960225,LEC
1,136.44313745239566,130.4513662348753,LEC
2,206.86518620555916,198.8840184152381,LEC
3,247.31452370285714,248.42780208586905,PIA
4,255.14118279183975,255.5468269232332,PIA
5,174.64396415061003,171.88272359546485,LEC
6,145.8742617793016,142.56556649941447,LEC
7,184.10254791538284,183.1948983103855,LEC
8,102.95935631278756,101.82980234772879,LEC
9,71.1024909550716,69.64197626174789,LEC
10,98.02791612765871,93.53631494823223,LEC
11,192.59407516309773,182.5957736182857,LEC
12,247.9786338369414,243.67084433886114,LEC
13,269.94507609761905,269.559938416459,LEC
14,281.17440924835165,270.03869722811606,LEC
15,110.61044685620722,105.01690927091416,LEC
16,162.0873198640254,157.0063427409908,LEC
17,187.48720476756694,184.77410980078227,LEC
18,199.04555009705217,201.84922968055002,PIA
19,217.51444695505026,202.10209935407408,LEC
20,139.34941202540605,136.11721611363103,LEC
21,104.910282432994,106.12868175160493,PIA
22,100.02962499288127,98.89138953920425,LEC
23,203.05137178818552,204.009125944127,PIA
24,248.34752726153846,253.6563634530761,PIA
25,264.9499968,,LEC
