Minisector,PER,RIC,Fastest
0,272.16577379047624,267.9430051050273,PER
1,249.0766076815423,228.56217187061472,PER
2,114.55284815773211,109.6599324264106,PER
3,170.83115102862365,178.72484525641963,RIC
4,183.0159123061074,174.86065299218828,PER
5,212.97462854461529,207.2025560464012,PER
6,269.2895010552281,264.9517477386754,PER
7,286.5388095238095,278.1983004491228,PER
8,202.03090955199283,178.417821938093,PER
9,131.78019449103044,143.3334946926349,RIC
10,126.83557233671195,127.45986149572167,RIC
11,178.96912227509378,186.17175889491378,RIC
12,230.39400851339332,212.6912347650321,PER
13,130.2940756926425,124.78814423897285,PER
14,152.60829391765083,146.50073275793332,PER
15,114.03084531437449,113.41650552679711,PER
16,242.00183151799783,243.71560655092478,RIC
17,150.29706780241045,138.12308092520914,PER
18,188.63354438117446,185.56166705008113,PER
19,126.5587344481744,123.4966860430196,PER
20,119.70918160819639,124.27460525817904,RIC
21,120.16203431658876,112.1568805307471,PER
22,135.7171240664836,125.71208941641004,PER
23,217.33048562398875,209.9156984748665,PER
24,234.25151454528444,224.95575246095345,PER
25,,254.82954472727272,RIC
