Minisector,ALB,ANT,Fastest
0,299.35027754158733,290.27443195967305,ALB
1,168.53306257025451,166.79791156234364,ALB
2,177.0061747212179,167.20507849517682,ALB
3,257.59269472832705,253.14077814905517,ALB
4,286.366485244839,286.8940809480671,ANT
5,246.91033313523812,255.9366969028019,ANT
6,226.27251772763523,223.77864945044803,ALB
7,149.55700343091002,154.62053095215592,ANT
8,229.31662812814102,232.63850210197674,ANT
9,286.04937698597666,278.0797617320635,ALB
10,306.7617559917649,300.6054871082489,ALB
11,316.3473793936842,312.3618605894885,ALB
12,320.99017541614035,318.0634642336088,ALB
13,322.47003286736845,316.34714733913046,ALB
14,129.9491825331789,129.98896074110735,ANT
15,115.91696968842068,121.65316313384803,ANT
16,103.48939682653943,100.25595858979153,ALB
17,236.51050794466073,225.77708325880343,ALB
18,288.47284293269007,280.8283144423061,ALB
19,308.1643561295031,304.41032861234567,ALB
20,316.9910663568254,316.2805423136508,ALB
21,320.7909352116368,320.8707704820189,ANT
22,129.99282372243914,137.28090287888764,ANT
23,202.47001957029028,191.30644878598002,ALB
24,272.4039805303921,267.4596231689717,ALB
25,,286.2229168,ANT
