Minisector,GAS,MAG,Fastest
0,296.74566619887634,301.36609128507934,MAG
1,241.05564304203173,242.2366626133619,MAG
2,130.7375709454579,131.2756090156333,MAG
3,244.71145540225908,235.89182358952382,GAS
4,191.0077345887125,187.1024336944799,GAS
5,241.7784168491413,249.01670782655032,MAG
6,226.63927732684442,223.3985376945372,GAS
7,248.19756969086419,248.8653639925178,MAG
8,282.79098233318683,286.7285107067372,MAG
9,211.84661871891157,210.2285918677088,GAS
10,200.52600655293654,198.11440718066206,GAS
11,268.9689289667448,272.4924108219202,MAG
12,212.52927650152313,205.286568203813,GAS
13,246.92990722455937,242.54598377348827,GAS
14,288.0151850958684,289.58434479277867,MAG
15,302.1270186335404,314.64845375125134,MAG
16,298.58101280148145,321.25716222651783,MAG
17,210.96156169852893,196.09745101768212,GAS
18,259.687372289314,254.10225704296298,GAS
19,293.00710934695894,298.820719695862,MAG
20,304.06297859469674,323.863793422666,MAG
21,300.9863612621118,326.6445184939829,MAG
22,151.73798226808483,147.98247112462224,GAS
23,225.70163618850245,227.1905463598597,MAG
24,283.6941324622222,295.0795352768912,MAG
25,295.55833386666666,,GAS
