Minisector,HAM,NOR,Fastest
0,229.64199085243456,231.86819968288827,NOR
1,283.10231314365245,279.0918418872688,HAM
2,297.87866670933334,292.14883446349205,HAM
3,304.58596643963284,296.7467391536232,HAM
4,271.6456239341817,264.0022684425028,HAM
5,165.26972466362332,165.62567858604652,NOR
6,260.26106306206896,258.80512174806086,HAM
7,272.30464742564106,273.23141025641024,NOR
8,214.31591415717,211.87182200702023,HAM
9,219.11568832403523,218.0730972375167,HAM
10,186.1044411785899,180.35035391043436,HAM
11,219.10643988686869,224.58461587631774,NOR
12,207.52940678098523,204.92032892121213,HAM
13,216.8894718052798,212.77749851348912,HAM
14,219.0596272881966,222.6118229862233,NOR
15,183.5554973305098,176.1844968968314,HAM
16,245.45367337398474,253.50333746019447,NOR
17,284.61950057319115,298.2987263861932,NOR
18,295.6530000213333,308.4799782649351,NOR
19,282.71269095009524,295.2791982158828,NOR
20,131.9601068827514,133.40126351206533,NOR
21,162.78358778671202,162.6888211276326,HAM
22,150.62896800087856,153.85194511219575,NOR
23,211.56456618139524,202.93734674868574,HAM
24,143.87127023996123,149.11617738308445,NOR
25,178.93332906666666,,HAM
