Minisector,ANT,HAM,Fastest
0,273.63157894736844,268.5476044127677,ANT
1,125.15070808820809,116.85507745916584,ANT
2,163.55902871075284,165.4780380520239,HAM
3,206.5597866419295,193.59325135299048,ANT
4,174.28955314009661,167.77986341401757,ANT
5,238.5459001782531,235.06872925291003,ANT
6,208.619099378882,177.87236576667016,ANT
7,138.20876176510467,139.90217109664607,HAM
8,248.21969507101088,251.58971670402758,HAM
9,285.17712053571427,290.8934074290196,HAM
10,282.8267448849713,267.9228712293037,ANT
11,157.96724644403216,152.36198099162453,ANT
12,225.86421141134002,236.7527861952915,HAM
13,279.1001400560224,281.5734214474854,HAM
14,258.32450980392156,221.62833747730213,ANT
15,104.61468896156924,96.03435499954989,ANT
16,236.26248487102194,240.6255488183982,HAM
17,295.91898577612864,298.08740676390664,HAM
18,313.7619658119658,327.5353975314286,HAM
19,322.8232353338562,333.86701523157626,HAM
20,325.64930555555554,328.45678045794205,HAM
21,297.09236633249793,250.19593301253133,ANT
22,159.61681983427872,153.01515564146123,ANT
23,244.00773809523812,255.7872350227994,HAM
24,283.2798941798942,302.7963402394583,HAM
