Minisector,NOR,OCO,Fastest
0,311.75462846850434,287.88482699298896,NOR
1,327.4310186074074,298.8504388491228,NOR
2,328.0575178734556,302.7942984421053,NOR
3,319.58045202889855,302.38442767719295,NOR
4,171.99974581010102,170.00120454179896,NOR
5,208.69007479756837,201.86871107359397,NOR
6,237.7129968,225.80366737066666,NOR
7,263.8357957333333,260.5479474210658,NOR
8,248.87065719999998,251.91448885797104,OCO
9,165.42113945644905,158.98710718290098,NOR
10,226.2667996953677,225.828334336,NOR
11,130.99049933599855,130.4100980252398,NOR
12,225.6942394575238,227.77728791161906,OCO
13,184.53313477048545,182.3867778873939,NOR
14,217.45185347160495,214.15602054320988,NOR
15,246.17328344579025,236.82281445369117,NOR
16,265.7536855510204,257.0480083014493,NOR
17,282.3988096507936,280.49226224761907,NOR
18,159.7280100034962,162.3339083851852,OCO
19,169.9244716812941,165.40297480534187,NOR
20,141.39889913142855,140.98983910797088,NOR
21,161.07559739304773,165.1587378965352,OCO
22,114.46197812456174,111.14789420696454,NOR
23,222.27165926446884,215.18201756086782,NOR
24,269.94019974970956,265.6296588079382,NOR
25,283.5875008,280.3625024,NOR
