Minisector,LEC,RIC,Fastest
0,267.2907635039946,272.5669043279438,RIC
1,298.36537701948964,296.98194474666667,LEC
2,313.453189170068,310.6088891022222,LEC
3,322.3552618096929,319.9089286857143,LEC
4,327.9624390116233,325.8061111466667,LEC
5,330.8773384272109,329.6167411047619,LEC
6,272.6520794074074,212.99166978235587,LEC
7,115.99221433355702,108.5104027603513,LEC
8,156.69574220949931,188.23162218435323,RIC
9,255.1919002666667,263.5902782222222,RIC
10,292.1062506,294.8178080916957,RIC
11,246.3265340262782,174.84062854308172,LEC
12,94.4546058843215,98.99874347032855,RIC
13,113.59400389128919,117.33314876874236,RIC
14,219.79264565982515,224.65460727649216,RIC
15,190.73599906133336,187.71475595555555,LEC
16,219.9553809606643,223.57450386031746,RIC
17,195.37088217777776,179.413498752,LEC
18,223.332768816809,237.99517411929824,RIC
19,274.2870377481482,279.23124303680135,RIC
20,289.94944312888884,263.90231385994394,LEC
21,161.1359666839714,151.23567557112136,LEC
22,101.88767712498209,98.00326183549512,LEC
23,122.88070264225203,126.90527437330768,RIC
24,207.28962290202236,223.12395260368618,RIC
25,246.6625024,256.61666560000003,RIC
