Minisector,LEC,SAI,Fastest
0,290.48054608911116,295.71231020071025,SAI
1,299.8024726189569,315.22516666666667,SAI
2,297.33171841664563,318.80437789601274,SAI
3,185.77186530000267,180.69779226492622,LEC
4,208.70338687512765,205.8634208096587,LEC
5,204.14827123189121,199.77425872108836,LEC
6,264.1331845638095,262.5473232822531,LEC
7,263.6907192367847,265.0707640088889,SAI
8,216.9128623056555,213.80650979785167,LEC
9,212.96102454567597,221.78134711350108,SAI
10,141.430639933722,139.14747641800557,LEC
11,199.09319659532466,200.38847808793645,SAI
12,192.58900524614032,185.5450153058564,LEC
13,254.0196806373394,252.78281894749924,LEC
14,180.60212389879763,180.41296533176472,LEC
15,234.74798105846153,229.52337646337662,LEC
16,278.2377867154051,278.2515305953954,SAI
17,289.69955029671956,290.7461850569697,SAI
18,285.5642610241441,288.0079678278363,SAI
19,276.4688979420451,273.91775404768975,LEC
20,269.3064341862434,268.723673809858,LEC
21,266.9167590282244,262.9057331495527,LEC
22,246.22720590489334,229.80934154202725,LEC
23,209.59375618306964,209.569069072987,LEC
24,267.93481297850343,269.5192986276576,SAI
25,,285.03333333333336,SAI
