Minisector,SAI,BOT,Fastest
0,272.17129408163174,272.86299576023475,BOT
1,289.1543593155561,292.6205607451326,BOT
2,296.1207687223702,295.6421740734695,SAI
3,127.51456586593315,131.22927347511344,BOT
4,198.84271774022076,201.3231681385708,BOT
5,256.34135076995744,260.17986115555556,BOT
6,137.9074025236084,144.91154677240212,BOT
7,209.18219503745587,210.50524381927792,BOT
8,260.2691827113215,262.9026086797474,BOT
9,281.0676013700984,284.8604651175131,BOT
10,227.4223971052598,243.47065734074846,BOT
11,176.4593927270857,185.39671707723525,BOT
12,196.09369908623805,194.69834390812676,SAI
13,145.00853189133312,147.37951027004678,BOT
14,175.5710948073312,176.52300740027118,BOT
15,158.0859243005374,166.77411230005856,BOT
16,217.9143785188634,219.5803388114587,BOT
17,235.20947304111468,241.35315959368685,BOT
18,240.8154426014327,245.40607974328773,BOT
19,245.53257734740754,246.23466888883522,BOT
20,144.1730223468516,149.2012382480167,BOT
21,132.31239531348194,134.81387819928386,BOT
22,170.7510953365446,171.44939384231526,BOT
23,149.46009258460572,155.5955782892794,BOT
24,233.5954905001954,235.6645070424461,BOT
