Minisector,HAM,HAD,Fastest
0,288.4696769129634,287.6609683390899,HAM
1,306.42070298543285,304.05829753953935,HAM
2,298.20710448533333,300.26041106830996,HAD
3,196.05681951724088,203.72241385689293,HAD
4,232.50510423087252,236.54590795147166,HAD
5,219.19548739896877,224.83708606301042,HAD
6,211.70966705348658,207.4859161166298,HAM
7,229.42091448465098,232.83344417668937,HAD
8,267.5520128369335,269.3471033927828,HAD
9,272.6245640195346,268.07070980392155,HAM
10,176.0622602686324,180.10518937866124,HAD
11,234.64991383176704,235.33853965366254,HAD
12,114.95841774879257,119.31431130270333,HAD
13,223.2054878861942,222.84464073611468,HAM
14,276.0378085982203,277.85389436449043,HAD
15,293.13742407757576,290.157638557135,HAM
16,219.53996342413913,213.71758065519836,HAM
17,184.69764040156824,190.9537465278788,HAD
18,265.7157750896886,267.40742259590587,HAD
19,292.61887272742877,292.8769259711111,HAD
20,304.63649112675654,304.34054360347824,HAM
21,305.40482250525156,304.88399507102827,HAM
22,280.4067516872994,274.4922430286266,HAM
23,117.85917005578096,121.85185466980452,HAD
24,245.31792220100124,247.36349535838983,HAD
25,,273.44166613333334,HAD
