Minisector,RUS,LEC,Fastest
0,299.60312413617316,306.010800133654,LEC
1,241.37285385315923,235.612533927768,RUS
2,133.13253468753624,130.3822482401562,RUS
3,238.7424544349787,230.7074163967046,RUS
4,191.78291854319326,191.43337880242703,RUS
5,244.7704358335952,248.1387957045118,LEC
6,233.6843185158423,229.3180761662669,RUS
7,258.3252460732138,255.03142920619527,RUS
8,284.67109546971426,290.03693842550723,LEC
9,201.41189140270043,198.12152054965134,RUS
10,205.4654627545705,207.43125807317364,LEC
11,273.70366800022083,273.47912653968257,RUS
12,216.75180156495375,203.7454074568838,RUS
13,253.21759208067624,247.0994188812494,RUS
14,289.5134363105102,289.7158716653714,LEC
15,304.30806774724635,306.9751014391714,LEC
16,301.2450777023052,305.42052375214166,LEC
17,213.66952168276376,204.53345510996806,RUS
18,257.22493908544516,268.9053704507936,LEC
19,293.3458336646465,295.50424259047617,LEC
20,306.5690169204427,309.351985876715,LEC
21,309.772886872381,310.51416137969164,LEC
22,151.84212546880036,151.99266668041216,LEC
23,231.39690095942652,237.37712036147403,LEC
24,280.9795109809778,287.2812142141414,LEC
