Minisector,RUS,SAI,Fastest
0,290.2706583970441,298.03828059300486,SAI
1,301.2601040281437,315.3808213883752,SAI
2,304.2790849673203,324.4048950601399,SAI
3,300.88038352791784,317.0890256853666,SAI
4,169.00812278709654,159.87688734078267,RUS
5,207.86217027849096,202.0953285491619,RUS
6,236.12188330675173,231.25567612761904,RUS
7,266.04331759382677,266.3127053939763,SAI
8,250.68361293762518,237.98628201904762,RUS
9,159.52494523656085,155.07624729844943,RUS
10,221.90852330588888,220.48631631313657,RUS
11,123.29342497331731,127.79178629024024,SAI
12,224.2131897203326,224.29406992236594,SAI
13,173.51461520088998,179.1919741312476,SAI
14,210.8742365739473,215.57859061261277,SAI
15,242.6610235041512,232.54483023627853,RUS
16,263.47779040404043,259.4784173017687,RUS
17,289.0611301431762,286.40836697181487,RUS
18,153.44754297060342,157.63388933460317,SAI
19,163.21910001255267,160.54731992681675,RUS
20,132.6072344871721,139.09176426046167,SAI
21,226.83558093210925,227.96162560737812,SAI
22,266.2538609625397,259.455166746936,RUS
23,253.50515909079073,242.80877682978354,RUS
24,275.7544668994668,272.76988414600135,RUS
25,,283.57222115555555,SAI
