Minisector,VER,PIA,Fastest
0,288.68017515391284,289.47723614907164,PIA
1,305.94184450569105,308.0995516750849,PIA
2,309.8872785603628,312.6571850454257,PIA
3,198.8235196555884,198.34996541334158,VER
4,235.23910436658687,237.9411013209397,PIA
5,226.421482400057,222.9469127684588,VER
6,209.84272314712481,206.62715319774705,VER
7,237.32293833120625,235.06587472544172,VER
8,272.260378195671,272.53072966724386,PIA
9,275.78073869765086,275.75239845971606,VER
10,174.1701330376568,173.70016285467787,VER
11,240.72052317836224,240.13568168766963,VER
12,117.48098553754957,117.74634887695747,PIA
13,226.48933943159267,228.12520064470277,PIA
14,278.9621494350914,280.5811518009922,PIA
15,293.0825899873621,296.1141415014141,PIA
16,222.5789007210604,215.0088350616341,VER
17,186.7039610511123,190.90505169200867,PIA
18,268.41209670342414,269.42482806012123,PIA
19,293.7964999953168,296.18538760524507,PIA
20,305.2087712879184,308.1312706358281,PIA
21,306.4350172844444,307.67178449187384,PIA
22,267.8352994813473,276.25107531686365,PIA
23,116.76530054434669,119.23853273861089,PIA
24,243.45726233913996,248.02419172557913,PIA
