Minisector,VAN,ERI,Fastest
0,277.70677864973544,274.7806723764706,VAN
1,307.99424564096444,302.3614578,VAN
2,329.31043943150183,316.05819372976237,VAN
3,343.1065473523809,323.2610119619048,VAN
4,344.5651785142857,326.9661863834012,VAN
5,342.72628299487184,329.3596155076923,VAN
6,186.03883485866666,203.30269046310866,ERI
7,105.68734070504837,105.92849997140704,ERI
8,192.60930005079365,189.33442926496133,VAN
9,265.0446518436505,261.3463227607843,VAN
10,296.80104166666666,286.97105712380954,VAN
11,156.76465547586207,164.4010648272109,ERI
12,96.36758785222351,96.63641697137267,ERI
13,119.53094435971924,115.49976552900175,VAN
14,220.3713384609524,210.93198060606062,VAN
15,181.51200864088182,175.5491039322603,VAN
16,210.18787805367964,206.8754061229437,VAN
17,171.05536883980818,167.6471372800978,VAN
18,238.1299347368421,230.714912,VAN
19,277.0260183352289,275.2341051203445,VAN
20,229.7935246033118,248.3589917754386,ERI
21,137.1276623450408,145.14147394606255,ERI
22,96.6449358250173,96.29980063171989,VAN
23,122.21741980898076,121.14745867578667,VAN
24,225.8491666666667,225.22584174545094,VAN
25,257.6499968,,VAN
