Minisector,BOT,ALB,Fastest
0,233.14918018713226,232.09494104606006,BOT
1,283.1293081478594,279.2484363999153,BOT
2,297.5310471330797,293.1632911339625,BOT
3,303.9537734242782,300.08594256876506,BOT
4,277.05489682150323,267.67838382217946,BOT
5,170.37741334546902,169.7046605353881,BOT
6,262.46356064247203,260.24787404253937,BOT
7,280.4036182231495,277.7701958238806,BOT
8,220.18166565802622,222.91164410694327,ALB
9,224.8334964976547,216.61168150583623,BOT
10,186.81019733108496,185.17351501848552,BOT
11,225.73216994638898,225.2836154419529,BOT
12,208.88529929230643,213.9635856068806,ALB
13,214.56622062186923,220.09085218032723,ALB
14,223.34622220988842,225.9239233565302,ALB
15,185.1816285090382,183.0580142386652,BOT
16,246.56233669207074,243.85974994756333,BOT
17,285.3196452390194,281.95409509958836,BOT
18,298.9506000642423,294.953550157921,BOT
19,288.33242956704845,289.45546334841225,ALB
20,132.38357508598634,135.9909392923463,ALB
21,164.17330400981433,167.21814678363913,ALB
22,156.14016241948508,153.2100414102864,BOT
23,209.88859685540305,212.2252812398018,ALB
24,149.93534862302045,150.0323914510061,ALB
25,188.38750293333334,183.36389013333334,BOT
