Minisector,SAI,NOR,Fastest
0,301.79907734349206,290.8162354261396,SAI
1,162.28484046972787,158.25735923074157,SAI
2,163.47875073986648,155.98530707131457,SAI
3,231.88327082040541,229.91023135854556,SAI
4,288.6710569065598,295.1121899583893,NOR
5,294.3078562691345,290.4357946503585,SAI
6,146.9197541671718,145.2505593949108,SAI
7,146.5897118464578,139.26645918960185,SAI
8,143.39125019521,137.0003744127058,SAI
9,188.43902723346605,184.31413725880586,SAI
10,140.74364080447668,131.26866572712478,SAI
11,127.1748487115329,131.07149999898562,NOR
12,172.27591855869727,169.32764321286695,SAI
13,268.85041519904473,269.1108551946361,NOR
14,294.1149781046057,293.4101429507401,SAI
15,156.49461659776412,148.91086357218919,SAI
16,191.791474018386,209.34823404180744,NOR
17,169.99394996871138,166.50933502822858,SAI
18,269.489092222473,269.0335208394265,SAI
19,293.7867396661192,297.2178288574487,NOR
20,308.1859679570755,311.3425604236627,NOR
21,316.4124817754788,319.66916130573463,NOR
22,320.4868139836007,326.97977700639274,NOR
23,323.86749341291005,338.07208965590763,NOR
24,322.51019239659524,341.0780936371664,NOR
25,322.0,341.121183844722,NOR
