Minisector,PIA,MAG,Fastest
0,291.0554977658095,292.38270393564335,MAG
1,301.9233823018488,301.8495505676191,PIA
2,303.2390176005409,303.9126334667342,MAG
3,193.48065947193334,189.37337990231532,PIA
4,210.3424484868214,206.41183046875614,PIA
5,202.89470825031694,202.45614101482153,PIA
6,262.56657869172903,263.93540349213487,MAG
7,255.28955131097308,253.82441685435117,PIA
8,213.4695762100618,205.2304541926811,PIA
9,210.75627022058373,193.6972653378055,PIA
10,140.75313830086628,147.03984972538336,MAG
11,200.89679340495348,187.74426852448013,PIA
12,188.4290447884283,192.52752404735617,MAG
13,252.05906370811508,255.39906145365535,MAG
14,185.49942644063492,179.5176499529112,PIA
15,231.4871043339269,237.95735786444854,MAG
16,279.7119981329705,281.670267928658,MAG
17,290.767638281946,289.9578593546756,PIA
18,285.63933506408716,277.25745303272726,PIA
19,273.4462897287247,262.04972403571765,PIA
20,265.82625424159164,260.20672036048086,PIA
21,264.88941810427934,257.45636344752296,PIA
22,231.14001794288512,224.34319994896126,PIA
23,207.63863368932104,207.06494799494286,PIA
24,266.9888140300164,269.87995844577074,MAG
25,281.0,,PIA
