Minisector,HAM,SAI,Fastest
0,252.2764499640252,250.91049525652218,HAM
1,290.3269870303974,281.78729130666665,HAM
2,185.38478874287924,169.60284408353172,HAM
3,159.52914864352164,167.06996562367164,SAI
4,260.5974490557823,254.906952595671,HAM
5,271.65946967272725,267.3696067663534,HAM
6,236.12799991466665,222.47517701305114,HAM
7,210.43072007567415,201.06265443983014,HAM
8,159.98677411877117,160.28621121893502,SAI
9,218.94504992168666,224.30842609894768,SAI
10,272.44423558897245,270.55738632727275,HAM
11,135.59558821753257,131.73417299434516,HAM
12,217.5510865280108,214.0448547779254,HAM
13,278.2625,275.66057167528345,HAM
14,301.819366966083,296.63151019798204,HAM
15,311.5833333333333,304.60745611228066,HAM
16,243.87008281573497,232.21751653982886,HAM
17,130.55225643742477,130.73151347745258,SAI
18,133.8816519284819,128.03515496298078,HAM
19,120.61461632341171,119.53201494098761,HAM
20,228.45427618688726,216.60794557489152,HAM
21,257.0848957333333,247.7805545777778,HAM
22,240.60149724070308,234.6507686206239,HAM
23,218.63837624616974,214.26686777320188,HAM
24,142.3959745739647,136.20806139913418,HAM
25,,219.44791466666666,SAI
