Minisector,SAI,MAG,Fastest
0,290.17154087778204,290.78344347638284,MAG
1,163.51952479718167,167.7735632591739,MAG
2,167.83602060511885,165.56827052424907,SAI
3,250.5637775304983,249.98263314471075,SAI
4,283.43603818781213,285.1911488129293,MAG
5,241.7346360307046,248.61599134199136,MAG
6,216.8979886295619,219.58412827791508,MAG
7,152.9299165401383,149.53679984803827,SAI
8,230.3718862379203,223.88361886641928,SAI
9,278.9714433981582,278.6628905533747,SAI
10,296.0662266870321,297.09644736,MAG
11,305.06937975071907,305.74659428870217,MAG
12,310.1667834896435,310.95624996799995,MAG
13,308.9617857142857,309.03332408910535,MAG
14,131.2147999866019,135.53511490544733,MAG
15,123.15697499207933,121.033999196691,SAI
16,105.14553618814855,100.75340773493643,SAI
17,235.64791229686858,225.85570156108616,SAI
18,284.6389439858209,283.9232539225397,SAI
19,305.2078424468949,305.84826329165094,MAG
20,315.168385456,317.71100279026473,MAG
21,317.11281252,318.87922123015875,MAG
22,123.70617458305925,131.44321623231644,MAG
23,208.39732321265805,195.9308203301855,SAI
24,268.5417131826985,266.9616148511801,SAI
25,280.5,281.1214281142857,MAG
