Minisector,PER,BOT,Fastest
0,284.3753434086478,283.97678788571426,PER
1,132.40416017790827,118.22075792067686,PER
2,160.0261589990715,158.41768536934242,PER
3,231.15062852498698,210.0970926026331,PER
4,163.24323547933508,158.93535443455784,PER
5,239.7967361415539,239.06835622654688,PER
6,229.87690986745656,199.38945311047618,PER
7,136.94701550976598,130.33690486666666,PER
8,231.5908383453804,238.5265511560998,BOT
9,271.8261945722231,282.69869331747896,BOT
10,282.58978953415595,286.4319217189803,BOT
11,149.9169386855914,140.57250203012813,PER
12,222.0445618937753,220.05942929454548,PER
13,265.8892813196355,269.0672349033582,BOT
14,267.5506831021554,256.66468132857443,PER
15,102.6115723449419,99.67864714986459,PER
16,221.61661247907648,221.7866752,BOT
17,270.3457318495722,271.0259850745218,BOT
18,289.64641773262787,298.54470403492064,BOT
19,298.86460623451705,313.7602617728571,BOT
20,304.45925209,322.8355354514286,BOT
21,301.5916658871795,271.84138365382427,PER
22,154.97535734872332,142.89991297932082,PER
23,234.4668138342752,237.32442981956103,BOT
24,272.576944897098,284.44826603005293,BOT
25,283.1666666666667,,PER
