Minisector,NOR,ALB,Fastest
0,295.9930331243513,299.35027754158733,ALB
1,173.38217128664502,168.53306257025451,NOR
2,177.199034613663,177.0061747212179,NOR
3,252.80521506917393,256.81052754146015,ALB
4,287.37757702702027,285.8812425687949,NOR
5,253.6841254969697,246.91033313523812,NOR
6,229.24943031077254,226.86720596628672,NOR
7,154.96718084466875,151.24465198683137,NOR
8,225.7814968370068,227.74829325326667,ALB
9,280.39660791665705,285.17315813667784,ALB
10,301.3426601732,306.7617559917649,ALB
11,311.701276477193,316.3473793936842,ALB
12,316.6612433801631,320.87851849481484,ALB
13,314.16517138257495,322.496531224,ALB
14,138.01268036871068,129.9491825331789,NOR
15,119.51339316631562,116.55956901483003,NOR
16,102.84840162510747,103.1660753201367,ALB
17,234.7718671453968,235.05092826244717,ALB
18,285.0598270657924,287.80011063126875,ALB
19,305.7063211688312,308.1643561295031,ALB
20,316.1916942953651,316.9910663568254,ALB
21,317.91528306646273,320.7909352116368,ALB
22,127.4991159004056,129.9182197340489,ALB
23,207.2156135949384,200.0865707299354,NOR
24,272.70026648194954,271.6273937221776,NOR
25,286.5249984,289.4888903111111,ALB
