Minisector,BOT,KVY,Fastest
0,294.31989168818325,287.88104144,BOT
1,297.1414357333333,285.2032306882242,BOT
2,170.40572917003027,164.70053716363637,BOT
3,228.79174336397517,227.2509231924395,BOT
4,276.0233602950658,270.22868863901215,BOT
5,293.16980648841997,286.40717577989415,BOT
6,299.24814820740744,291.09517541052634,BOT
7,158.25573942992193,150.1256908350877,BOT
8,141.00400624211184,143.21508749134355,KVY
9,253.68841389192502,250.27310550303034,BOT
10,285.91271893333334,278.5489923901579,BOT
11,297.3010049465707,289.1932898290344,BOT
12,147.25828423208281,147.0844928473008,BOT
13,206.71475423583541,201.94772270926438,BOT
14,264.7952016627354,250.56910889244057,BOT
15,203.88786735238094,205.39728893809317,KVY
16,226.64516726121974,222.86359477638095,BOT
17,215.4652085333333,221.6597499483086,KVY
18,246.92209523155668,250.18012992290247,KVY
19,277.68329307816975,274.03328244861785,BOT
20,294.15342539386756,285.3632147914404,BOT
21,262.9709750566893,263.2596434819048,KVY
22,220.62733983962588,225.97125828228016,KVY
23,213.6882331282619,210.58389907738893,BOT
24,269.2094734809778,263.30937456000004,BOT
25,282.0,278.19937858180754,BOT
