Minisector,BOT,PER,Fastest
0,284.78601239520214,282.8156804121301,BOT
1,258.74786816609424,241.32086097737005,BOT
2,275.2531876560854,267.2918209486473,BOT
3,280.15973419104336,279.4748266128651,BOT
4,135.25822159333632,132.59582546977202,BOT
5,210.95315632284513,210.76337734921404,BOT
6,266.2159702921674,265.3764437038394,BOT
7,287.8552565937721,286.2223119031795,BOT
8,296.92896188047285,296.6197916,BOT
9,300.99509020061737,302.1159715442524,PER
10,277.8411443294487,303.8069196571429,PER
11,100.49598661898544,116.56969421836467,PER
12,223.8300730935058,197.66858219263366,BOT
13,273.63940308247396,267.2530937144482,BOT
14,273.84120258510586,285.78680029285306,PER
15,135.35550602603155,134.3909678957374,BOT
16,215.35019891241546,190.51414076642575,BOT
17,263.0778864558997,249.75219259378125,BOT
18,259.3857403541403,264.5301117136499,PER
19,250.55233379218598,235.35899495508087,BOT
20,152.48152445414914,170.66337780577723,PER
21,191.99278572647378,162.28554692048544,BOT
22,188.1456455061967,187.6915664248809,BOT
23,201.8916632446017,173.87540982621823,BOT
24,257.60554044628424,237.04727062428123,BOT
25,,268.5050005333334,PER
