Minisector,OCO,BOT,Fastest
0,267.8430506453094,275.69622650385963,BOT
1,116.63433318811231,112.38635654137317,OCO
2,156.3033345242407,159.27061351971327,BOT
3,192.64090482659876,195.8197901521049,BOT
4,162.67193618345866,153.40848206320533,OCO
5,240.60387680211858,237.83099171245146,OCO
6,198.52038801995337,197.5308623230525,OCO
7,132.27069478948673,128.50675286546502,OCO
8,228.60014848588676,240.73502844835164,BOT
9,269.79387378637057,280.1584675257143,BOT
10,275.1292520272428,282.2022595453968,BOT
11,142.04312163900025,139.36520448573333,OCO
12,214.5637607716458,217.8240674650505,BOT
13,263.2059827498818,264.8112568758396,BOT
14,258.9163632780247,262.2323242748833,BOT
15,99.76794341654511,99.10825267277464,OCO
16,214.8074648050672,216.71295768205042,BOT
17,269.672939202963,271.15082073241314,BOT
18,291.92252165662325,302.83492258,BOT
19,302.6074079176875,319.62469824234427,BOT
20,308.8187407454815,329.36620340857286,BOT
21,278.58266945169044,301.5836279020408,BOT
22,145.97711971914853,140.96321700465987,OCO
23,230.90241343154435,230.23572248958567,OCO
24,272.06433136252775,279.75986312421054,BOT
25,284.0888888888889,298.09375008,BOT
