Minisector,VET,RAI,Fastest
0,272.66372960575154,275.02686635650025,RAI
1,297.1155090962963,301.3763883259259,RAI
2,310.58156999026875,315.8752227904762,RAI
3,319.75841917355507,323.76936250980395,RAI
4,324.37968746666667,328.87959483207345,RAI
5,326.41822913333334,331.4270833333333,RAI
6,218.85458092789432,219.65790994285715,RAI
7,106.77309801649467,105.70695545400214,VET
8,182.92467715274347,185.30892601904762,RAI
9,263.3488685539983,264.2894036342857,RAI
10,292.42879408856777,294.6944436740741,RAI
11,174.83240194085445,180.1204845991999,RAI
12,96.5724925856094,94.59300322272348,VET
13,116.16579622605316,114.18718563152504,VET
14,225.93775367702952,223.75049596825397,VET
15,189.57979233667658,182.51522275981895,VET
16,225.4341601572012,220.0592756825397,VET
17,180.79919682283807,181.6010239565627,RAI
18,238.75251557402598,232.99426243463205,VET
19,280.2608685723755,278.4017533754386,VET
20,260.02842771429766,261.22564181523285,RAI
21,148.58902045318348,142.68190832280703,VET
22,95.62589805654764,96.11018198929767,RAI
23,125.4463866876542,124.10170423167125,VET
24,229.05491078095238,226.15781053333333,VET
