Minisector,PIA,ALB,Fastest
0,275.3691249689297,276.20412872093516,ALB
1,298.68489599343036,299.2438947866932,ALB
2,294.6264698150437,295.6139722503111,ALB
3,169.32393093007016,162.8866623256437,PIA
4,117.97110393509645,117.62087100338763,PIA
5,232.59246092326663,239.48491174460435,ALB
6,291.37575154349224,295.76734345456094,ALB
7,310.10615833162655,309.7899473381756,PIA
8,180.82211738769197,163.41274031845182,PIA
9,135.40103898359007,138.20061970247573,ALB
10,247.34881148354916,250.80135456578333,ALB
11,288.11094323620085,289.60195932660315,ALB
12,301.9477090875392,300.0119534272312,PIA
13,282.9140268071222,274.7764928178987,PIA
14,296.53151660773455,295.4576087095652,PIA
15,299.68818541945166,292.9902675595307,PIA
16,255.29022487487813,240.77066554053638,PIA
17,228.68463963978834,225.84199580205424,PIA
18,276.24069607120174,288.7119577774105,ALB
19,300.99782450701116,318.8458286597577,ALB
20,306.01578815317316,321.27843850933334,ALB
21,224.67735526128212,215.2002801157319,PIA
22,257.42945472361714,256.3482559855315,PIA
23,128.34379049728537,123.32441241043874,PIA
24,212.1528738388758,215.18835346365134,ALB
25,256.22500160000004,,PIA
