Minisector,RUS,COL,Fastest
0,298.9960631541935,294.0166708881957,RUS
1,151.975642219457,152.06264740489408,COL
2,148.89403596463887,155.4024362881446,COL
3,231.04923167463463,225.95150094051866,RUS
4,287.79384399627924,287.4639826841834,RUS
5,291.6414963309421,289.3266337015873,RUS
6,138.6952646061343,142.68317620592376,COL
7,137.17001312063664,137.4442412362741,COL
8,131.5904682374677,135.76436974136527,COL
9,187.0855327733858,181.07744877516035,RUS
10,129.9139095780752,126.10738728696383,RUS
11,122.09201271988637,129.6807999011951,COL
12,167.89272902750278,156.88517743578646,RUS
13,270.28145857333334,266.3543337980852,RUS
14,294.452595978836,288.55834395466667,RUS
15,142.36803073101552,146.2281228011695,COL
16,205.40899258637558,204.40024276486167,RUS
17,173.16034407907688,161.3809607112461,RUS
18,270.245056405008,265.11533703326006,RUS
19,294.4419982060606,293.60259889278166,RUS
20,309.99528268900906,309.10848661660765,RUS
21,319.2197147119192,319.4825268182857,COL
22,324.94278298588245,325.492305923104,COL
23,328.0118054806349,328.20550003200003,COL
24,326.6461706768254,326.9702845432299,COL
25,328.0,322.96749952,RUS
