Minisector,ANT,VER,Fastest
0,298.08341069942855,298.42018262692227,VER
1,224.60580964699747,204.8656900392971,ANT
2,215.88179158349692,225.43807929701032,VER
3,276.3720800797166,277.75614666795315,VER
4,261.0339271732837,241.44635033191784,ANT
5,122.92872855765228,127.12175262270935,VER
6,198.63653363633335,201.07517353839907,VER
7,251.12956700350375,245.15434497634232,ANT
8,239.62376024324516,229.26541410155232,ANT
9,239.9801585567753,245.37159822947845,VER
10,286.91248193593185,289.09459506398593,VER
11,305.4735189155556,310.8364259349073,VER
12,317.72630344536566,321.3880384580499,VER
13,314.2719035324852,318.0160070231177,VER
14,307.6294067274854,309.0508330071509,VER
15,263.88251192226363,245.94125060880074,ANT
16,240.12924073818067,236.38224518497657,ANT
17,281.1363081764182,281.0082569997884,ANT
18,288.2191182440573,289.96071635473055,VER
19,156.87959282443512,156.36890562406253,ANT
20,200.10540591817912,199.47303983032162,ANT
21,179.5973548885397,174.69114433406884,ANT
22,130.28863841828968,133.30810205043127,VER
23,237.2003449444953,242.4621173824219,VER
24,285.88664082984127,294.4310879081905,VER
